"","GSE13507_logFC","GSE13507_SE","GSE13507_logFC_scaled","GSE13507_SE_scaled","GSE3167_logFC","GSE3167_SE","GSE3167_logFC_scaled","GSE3167_SE_scaled","GSE37817_logFC","GSE37817_SE","GSE37817_logFC_scaled","GSE37817_SE_scaled","GSE52519_logFC","GSE52519_SE","GSE52519_logFC_scaled","GSE52519_SE_scaled","GSE65635_logFC","GSE65635_SE","GSE65635_logFC_scaled","GSE65635_SE_scaled","GSE7476_logFC","GSE7476_SE","GSE7476_logFC_scaled","GSE7476_SE_scaled","GSE76211_logFC","GSE76211_SE","GSE76211_logFC_scaled","GSE76211_SE_scaled"
"100033802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.428758501302252,0.0978675129930957,-0.939215082812043,0.225196059373121
"100033803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.94909130627221,0.828783289007379,-6.73857585770043,1.90705500784436
"100033804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.346926098885811,0.212918418657366,-0.75091628998875,0.489931616561848
"100033805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.27199306922755,0.26365999104184,-2.87952291343372,0.606689484396763
"100033806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98731466474971,0.508718334209055,-4.52549918859919,1.17057602355563
"100033807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1888431951103,0.383874161582384,-2.68819257902646,0.883305867694952
"100033809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.374156746007953,0.123779928058156,-0.813574819244714,0.284821297442714
"100033811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0221368167110874,0.0927626441748414,-0.00356648783803683,0.213449604330693
"100033812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03615740057837,0.168393336490361,-2.33685802275477,0.387478077684434
"100033813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.971559677925009,0.170482296411531,-2.18821674087156,0.392284836618516
"100033814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.19630981623101,0.681650638589941,-5.00640325065499,1.56849840140983
"100033815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13187744120426,0.22397921235081,-2.55711268431449,0.515382831956262
"100033816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.69443237204046,0.831977608010918,-6.15259807284352,1.91440523091612
"100033817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.94909130627221,0.828783289007379,-6.73857585770043,1.90705500784436
"100033818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.93497042517204,0.498611819908062,-4.40505353586656,1.14732063343714
"100033821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39894983735752,0.235513281805608,-3.17165421440622,0.541923068959522
"100033822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102978392650861,0.0794236859374768,0.107199080769422,0.0752369532353466,NA,NA,NA,NA,-0.117494050741598,0.178146067151476,-0.222986320626741,0.409919401121002
"100034743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0272017375130318,0.0818678658879975,0.0354169090955471,0.0775522909140947,NA,NA,NA,NA,0.24165264389323,0.149275574757783,0.603420909874258,0.343487539102806
"100036563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.970024887589517,0.283093331873632,-2.18468514264304,0.651406179875507
"100036564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.451179103478442,0.181430364406849,-0.990805555528016,0.41747666682747
"100036565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735977060132269,0.234520382665564,-1.64613412774261,0.539638378495294
"100036566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0661687644567941,0.0966126374804705,-0.0530316690250241,0.0915198080051808,NA,NA,NA,NA,-0.0373835231078652,0.0462926025260141,-0.0386496129115793,0.106520655814765
"100036567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034100671361541,0.0759146860571015,0.125837645522256,0.174681951403148
"100037417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0107805463397996,0.170861864260548,0.0198613430476337,0.161855068035934,NA,NA,NA,NA,0.0716298136232005,0.112564561168876,0.212193318518414,0.259014404525472
"100038246",NA,NA,NA,NA,NA,NA,NA,NA,0.038000000000002,0.064355494168172,0.127811936141649,0.130911850081336,NA,NA,NA,NA,-0.095494367584509,0.0814176608827852,-0.0808114050707057,0.0771258179731368,0.101536905104179,0.196901460099967,0.189503943295153,0.287862465969617,0.108426845501332,0.12071538362408,0.296864383738666,0.277769689516633
"10004",-0.590543691876616,0.242298633132725,-1.24976629676533,0.534202967215285,-0.368475122663505,0.104706430163198,-0.651165973536795,0.164587183134163,-0.536,0.282075902577329,-1.03981800622698,0.57379837956436,-0.250777586141838,0.471602698421586,-0.338564254331913,0.653162858887423,-2.05425943060309,0.192231025444713,-1.93632231099079,0.182097777269515,-0.413386726517608,0.140864499387199,-0.563294874496361,0.205938554953263,-0.0973484055704548,0.145745152662054,-0.176630591669057,0.335363932815416
"100048912",NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000000005,0.0534055067212,0.0911963630360092,0.108637401977425,NA,NA,NA,NA,0.0537591514918674,0.111027511533479,0.0605743780544962,0.105174817744635,-0.0130695342512719,0.0684229490040921,0.0219536761101972,0.100031756083634,0.0223617874794115,0.0463326426848042,0.0988261244276037,0.106612789411506
"100049076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.275342748501894,0.44857473797896,-0.586200870845313,1.03218381910163
"100049587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21775633477272,0.863826563587031,1.16321272341557,0.818290891450314,NA,NA,NA,NA,0.246178012518787,0.210456009646634,0.613833917730687,0.484265540160981
"100049716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.397593948810989,0.339003221665643,-0.540206432527322,0.495609851297049,0.0855234720665372,0.110077233759695,0.24416303999214,0.253290990148344
"10005",0.121014541543802,0.22512713206806,0.319027198786236,0.496344450633148,0.0556657126549185,0.164512670822006,0.0155375443696523,0.258596124786885,0.204000000000001,0.260145828050061,0.465488888115845,0.529188254727403,0.190369381788484,0.273662942371946,0.272417862028469,0.379019183752455,1.03054040725224,0.41802385870139,0.985865678670518,0.395988188374108,0.365872222124293,0.081715267669725,0.575952150239065,0.11946462178001,0.0555187433250106,0.109341966066067,0.175121266389209,0.251599117307955
"10006",-0.0871414432095552,0.194028446266011,-0.13990046110672,0.427780257690093,1.37047132249014,0.306567985906457,2.08226975321764,0.481891715349415,0.00799999999999734,0.130278334516697,0.0667859809655788,0.265011993420923,-0.0728665370998849,0.238832868660534,-0.0921600462796038,0.330780039666242,0.399124285996809,0.184668778181924,0.387733967378046,0.174934165596891,-0.235489878243328,0.171224638845536,-0.303216430149337,0.250323927246699,0.192057800991174,0.247267369793082,0.489301700698482,0.568969575152959
"10007",-0.108415706325237,0.252174271559941,-0.186804458602615,0.555976079522006,0.76554180276119,0.255688202428619,1.1313859775822,0.401914198896593,0.0493333333333332,0.251913369393155,0.150866185874823,0.5124417996279,-0.613923159892778,0.246409349231892,-0.841515577420908,0.341273354752979,0.705863551298989,0.393145926050685,0.678303807931052,0.372421668722696,0.39778915566013,0.158205070090052,0.622613496422835,0.231289811573246,0.0388475028648596,0.200464353897336,0.136760246049879,0.461274442987466
"100073347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.209696421523642,0.155229348731169,-0.188993422691532,0.147046603458245,NA,NA,NA,NA,0.188603952837874,0.138972189499303,0.481354293331024,0.31977914305338
"10008",0.0533059056497258,0.0451780133386787,0.169747965415976,0.0996053030360835,NA,NA,NA,NA,0.0719999999999992,0.0662252050036673,0.196974685341178,0.134715213069307,NA,NA,NA,NA,-0.159282887146872,0.214440078623655,-0.141237382619059,0.203136104510343,0.199634848904474,0.131421787595903,0.332919416164501,0.192133668487196,0.54814451103849,0.284498911610903,1.30866781561602,0.654640460672961
