"ENTREZID","logFC","p.value","FDR","significance"
"100507516",-1.41167079120297,0.00510509225629276,0.427011774709758,"not significant"
"100616316",-0.93508036847172,0.00189618985547467,0.427011774709758,"not significant"
"10079",-1.03308437696813,0.00163781044257355,0.427011774709758,"not significant"
"10100",-2.5559719127766,0.00485744993098023,0.427011774709758,"not significant"
"10112",2.46625344254826,0.0015961303687855,0.427011774709758,"not significant"
"10133",-0.99551481187674,0.00293662185101088,0.427011774709758,"not significant"
"101927973",-0.667062700001149,0.00347733956033652,0.427011774709758,"not significant"
"101928728",0.63483606019425,0.00273034490414406,0.427011774709758,"not significant"
"102723694",-0.855539784338406,0.00352682223123935,0.427011774709758,"not significant"
"10302",-0.619099293308019,0.00138130158585583,0.427011774709758,"not significant"
"10350",-1.75634669779518,0.00429169815156182,0.427011774709758,"not significant"
"1039",-0.820164254008428,0.000893775473504344,0.427011774709758,"not significant"
"10396",-0.686653769717164,0.00237468412732592,0.427011774709758,"not significant"
"10403",2.00468076741317,0.00516678010739245,0.427011774709758,"not significant"
"10413",-1.14175291389083,0.00311989524464024,0.427011774709758,"not significant"
"10443",-0.790243033463312,0.00550746229763964,0.427011774709758,"not significant"
"10460",0.439363671441944,0.00470214689848202,0.427011774709758,"not significant"
"10615",0.704785158011861,0.00499203301726682,0.427011774709758,"not significant"
"1063",3.09876379852559,0.00356847013560345,0.427011774709758,"not significant"
"11004",1.46495764496515,0.00506574472385366,0.427011774709758,"not significant"
"11015",0.969237830385524,0.00125353990774988,0.427011774709758,"not significant"
"11065",1.01510423087599,0.000749352111910439,0.427011774709758,"not significant"
"11113",1.35762594064497,0.0049592572951447,0.427011774709758,"not significant"
"11141",-1.89964031663512,0.00535607485843855,0.427011774709758,"not significant"
"11201",-0.635159413590379,0.00467065031329929,0.427011774709758,"not significant"
"11240",0.922547757124637,0.00220370293589667,0.427011774709758,"not significant"
"112597",0.943437941682106,0.00368269842086255,0.427011774709758,"not significant"
"113115",1.31588509521295,0.00360202082902665,0.427011774709758,"not significant"
"113730",0.657965780034198,0.00397732637572152,0.427011774709758,"not significant"
"114815",-1.14756930614103,0.00143294509456541,0.427011774709758,"not significant"
"114884",-0.861972877902461,0.00436309822675178,0.427011774709758,"not significant"
"114905",-0.925961392697014,0.00447040921698216,0.427011774709758,"not significant"
"1153",-0.906448467885756,0.0014857108198783,0.427011774709758,"not significant"
"115677",-0.510828055159561,0.00497413492104782,0.427011774709758,"not significant"
"115908",1.44479098429704,9.24411541228753e-05,0.427011774709758,"not significant"
"120376",-1.03653038774482,0.00229858955110927,0.427011774709758,"not significant"
"121457",0.574506744319003,0.00233194919393492,0.427011774709758,"not significant"
"124",-1.16897602863244,0.00159702315485996,0.427011774709758,"not significant"
"124751",-0.597498597730122,0.00256056172966306,0.427011774709758,"not significant"
"126",-2.36397157960946,0.000897880174994648,0.427011774709758,"not significant"
"128239",0.839584429110641,0.0034907524542805,0.427011774709758,"not significant"
"128344",-1.03834754460888,0.00377308682632269,0.427011774709758,"not significant"
"134466",-0.879462776266892,0.000448630067288377,0.427011774709758,"not significant"
"140735",-0.814399036630822,0.00261093923778038,0.427011774709758,"not significant"
"145483",-0.686427732468259,0.00158458349723815,0.427011774709758,"not significant"
"145581",-2.05156614795963,0.00137509953959716,0.427011774709758,"not significant"
"145781",-0.873222506972493,0.000682199990012516,0.427011774709758,"not significant"
"1462",2.80876635501072,0.00278962289928966,0.427011774709758,"not significant"
"1469",0.543442101229028,0.00528086707081449,0.427011774709758,"not significant"
"150051",0.578134628376304,0.000887026140312508,0.427011774709758,"not significant"
"152137",-1.13233866311897,0.00306746962416643,0.427011774709758,"not significant"
"152485",-1.5928938819893,0.00417355875078698,0.427011774709758,"not significant"
"1540",-0.565814189210782,0.0033125530077959,0.427011774709758,"not significant"
"154796",-0.984841433060795,0.000988947804859156,0.427011774709758,"not significant"
"157570",2.0945598475126,0.00291598356472806,0.427011774709758,"not significant"
"157695",-0.496821112670697,0.00441382074564759,0.427011774709758,"not significant"
"158326",-1.33003269967714,0.00523688933393931,0.427011774709758,"not significant"
"158399",-2.17314371755416,0.000377273584590299,0.427011774709758,"not significant"
"1600",-0.791427301260101,0.00329764042069575,0.427011774709758,"not significant"
"1909",-1.90190111215143,0.00464960109839788,0.427011774709758,"not significant"
"196740",-1.27604587231907,0.00528402248965735,0.427011774709758,"not significant"
"197131",-0.776357209401695,0.00290062135027674,0.427011774709758,"not significant"
"1979",-0.725666601756139,0.00498271914028052,0.427011774709758,"not significant"
"2004",0.689682163922482,0.00303426044675106,0.427011774709758,"not significant"
"200558",-0.714719842015152,0.00321978009604402,0.427011774709758,"not significant"
"202151",-3.66313633095317,0.00295074738450244,0.427011774709758,"not significant"
"205",-1.08361970018735,0.00199777060768357,0.427011774709758,"not significant"
"220134",1.27746677071758,0.000908683537605939,0.427011774709758,"not significant"
"222235",0.797172061027246,0.00102878478196862,0.427011774709758,"not significant"
"222389",-0.963619328055191,0.00378728212435547,0.427011774709758,"not significant"
"224",-0.661300370225803,0.00468982033199163,0.427011774709758,"not significant"
"22876",-0.659399018353259,0.0045830030623187,0.427011774709758,"not significant"
"22882",-0.863380496337013,0.00404344103286829,0.427011774709758,"not significant"
"22903",-0.776183299270677,0.00435372231249003,0.427011774709758,"not significant"
"2294",-1.85643373239474,0.00210150750015273,0.427011774709758,"not significant"
"22974",3.12522941160961,0.000997484340483263,0.427011774709758,"not significant"
"23043",-1.28384946318792,0.00360836869471439,0.427011774709758,"not significant"
"2305",1.74700247928998,0.000313444600673038,0.427011774709758,"not significant"
"23059",-0.982190406050358,0.00454623801643171,0.427011774709758,"not significant"
"23250",0.8344585206164,0.00199163615610536,0.427011774709758,"not significant"
"23332",-0.686938034080772,0.00484219922170538,0.427011774709758,"not significant"
"23417",-0.589705720400627,0.00423561846900754,0.427011774709758,"not significant"
"23424",-0.692028848424791,0.00412951503692359,0.427011774709758,"not significant"
"23460",-2.49916075513005,0.00325726509595894,0.427011774709758,"not significant"
"23555",-0.524745139173127,0.00405671735205138,0.427011774709758,"not significant"
"23705",-0.748185349444524,0.00195757142762928,0.427011774709758,"not significant"
"256643",-0.771658478236475,0.00084024963374913,0.427011774709758,"not significant"
"25805",-1.00805916899233,0.000440186606555268,0.427011774709758,"not significant"
