"logFC_meta","SE_meta","p_meta","I2","tau2","Gene","Symbol","FDR"
0.00724039577783988,0.0564583007142949,0.797865203240924,0,0,"100129460","DPY19L1P1",0.887128519664886
-0.0557132707357868,0.468901010988022,0.573484364676659,89.700297949955,0.58321880157807,"100129482","ZNF37BP",0.740519359426402
-0.293179426877338,0.066557246722735,0.0288854932239578,0,0,"100129550","LINC02035",0.137025303945101
0.000356729545829025,0.135117708463544,0.583275442683249,0.00446352322036813,2.61187243664525e-06,"100129583","FAM47E",0.747365716375401
0.119240154301175,0.0977196744380416,0.0949884100152014,0,0,"100129716","ARRDC3-AS1",0.262866632856852
-0.028527902056666,0.110587785769844,0.873815327089924,61.8356754300105,0.0268736171115287,"100129726","LINC01126",0.929827893573387
-0.244978692900767,0.0588700441903716,0.0361381871619158,0,0,"100129792","CCDC152",0.153898571342932
-0.0368607249182636,0.0936939227108271,0.8371985488675,0.00428926524574604,2.07888404361224e-06,"100129858","SCOC-AS1",0.909772616621846
-0.0482119487069574,0.0378448881924999,0.424621786021075,0,0,"100129917","PCGF3-AS1",0.62698183211326
-0.15987358899052,0.272140775882422,0.432301255855218,88.3105077445783,0.192047793960358,"100129973","CERNA1",0.632674077088528
-0.0184353708051846,0.264427900214597,0.616161949425308,91.1161189044489,0.382893972824778,"10013","HDAC6",0.770872094843673
0.0186074609108538,0.0493803783056929,0.496980990142166,16.1536064165153,0.00239947663599102,"100130086","HSFX2",0.683624584937791
-0.0214376947487902,0.0348081801825673,0.658891392657466,0,0,"100130148","MAPT-IT1",0.7995041022217
-0.0387191452409416,0.0339663090575002,0.366232502929385,0,0,"100130238","GALNT9-AS1",0.577379384216032
0.0256178218721221,0.0731401693912525,0.367541192912232,50.4785708287906,0.0124656000117088,"100130264","SLC24A3-AS1",0.578356298329708
-0.110477618072961,0.385186077670965,0.370119732923502,96.2271424062944,0.421453141483495,"100130331","LOC100130331",0.580841993010879
0.0576164435960766,0.298584365594841,0.969815954542242,88.5872154993876,0.306979742166282,"100130348","CATSPERH",0.983931426483354
-0.0272228844604151,0.0871257984656199,0.59866200823262,21.0873766487236,0.00731998363832816,"100130386","LINC00552",0.758636607903763
0.187247234863164,0.10687198624257,0.0176938852712345,15.2099181162886,0.0112459380857823,"100130449","GPC1-AS1",0.104791293967172
0.016283033074419,0.141140187178702,0.470362188033771,35.7098382085751,0.0251714290608708,"100130519","TMEM221",0.663360842756953
0.0399835866971074,0.00765230141584163,0.00413214074447175,0,0,"100130522","PARD6G-AS1",0.0531237353572236
0.0250077564494726,0.31503522411028,0.795209148034036,87.5343688883297,0.243189293419192,"100130557","NFYC-AS1",0.88534808705348
0.163561608521904,0.320288487525123,0.229446296895768,84.4491359604665,0.258510857525266,"100130613","PRR32",0.43983211066374
-0.0212021246154422,0.0234387370593045,0.644406309332049,0,0,"100130691","LOC100130691",0.789854375397887
0.0213338831955787,0.0293988571565358,0.125209302050513,0,0,"100130705","SPMIP1",0.308505551590948
0.0925680768925396,0.099506104431532,0.109927784289949,0.0142138635223898,6.22908931961626e-06,"100130717","HDHD5-AS1",0.286141052576181
0.0861297262440701,0.00639139922348946,0.000112466616596566,0,0,"100130742","LRRC69",0.0138996318486983
-0.171254856507982,0.0353089038296146,0.0253022209538618,0,0,"100130872","LOC100130872",0.127078843459373
-0.0329800906823442,0.663170620473404,0.525282788350843,67.4492794426093,0.685221110627318,"100130889","PSORS1C3",0.704748585571746
0.119944737539211,0.0638813211907215,0.0669830997517015,0,0,"100130933","ERLN",0.217641055564198
-0.251715440516707,0.119364569348324,0.0570548034653951,41.6138541366953,0.0267154879334519,"100130958","SYCE1L",0.198303832955553
0.225471324373358,0.185492183235795,0.164386551478092,70.7085490516855,0.0760082311544807,"100130987","LOC100130987",0.363190072332327
-0.102231539502147,0.0986470632772069,0.321198016863555,16.9750760282312,0.00393409024601653,"100130992","LOC100130992",0.536006957437889
0.0684167551759611,0.0422789973540904,0.048352448832622,0,0,"100131138","VHRT",0.181327813053334
1.85510470656012,0.362466067705331,0.0205007378267539,70.970863720218,0.359555263719711,"100131187","TSTD1",0.113047799064414
0.0277831523646168,0.0869613321837074,0.365516252654027,10.6098068529503,0.00336086583396531,"100131211","NEMP2",0.576656348164725
0.208608101974222,0.204070853545992,0.170004994573668,52.121009207739,0.0709978793647636,"100131213","ZNF503-AS2",0.370030838109322
-0.0138553486750546,0.068459981620894,0.931940707607216,0.00312942187020889,5.39169593389152e-07,"100131257","LOC100131257",0.96390060022154
-0.00102566465842813,0.0446256132728005,0.360934149531008,0,0,"100131347","RDM1P5",0.572986607266025
-0.0639660323077224,0.174286102787962,0.818693945435214,42.2998653441135,0.0408707333464702,"100131434","EOLA1-DT",0.899514018586986
0.000135158357991768,0.0703882612418205,0.577671316881886,0,0,"100131454","DBIL5P",0.743210415032928
-0.0539749823699687,0.0379083266214888,0.314353652070889,0,0,"100131496","LOC100131496",0.528337587265815
0.0620379988171711,0.0345189278361844,0.0704731035746189,0,0,"100131551","LINC00887",0.223574499964333
-0.11805128733136,0.0880802521762187,0.352695180342283,19.6017926168433,0.00736934797716927,"100131561","FKSG29",0.565745465560743
-0.00959920952564175,0.117578657740619,0.927250230470617,8.60451883661617,0.00994284696236732,"100131564","CCDC18-AS1",0.961322417417044
0.0566535897521909,0.113314287151677,0.476146522019806,40.5087971644386,0.0158854654140118,"100131726","SACK1A-AS1",0.667217981672606
-0.482446453760395,0.122091763318836,0.00548054610401031,0,0,"100131755","ARMCX4",0.0596290499291858
-0.0427848777222266,0.0735039298939741,0.865455911630036,33.0556490836243,0.00968041373969126,"100131816","UBE2DNL",0.925747854287
-0.663596804251578,0.384514594902875,0.10411184919749,84.6727474962094,0.405162513810101,"100131825","CADM3-AS1",0.277732272343319
-0.271405297015977,0.342633298816643,0.340206167167669,82.5538311284696,0.372799215240232,"100131827","ZNF717",0.554569708973635
-0.0744178199574308,0.096999173757684,0.385474556429862,63.2605409217204,0.0170311290418913,"100131980","ZNF705G",0.594017530366341
-0.189381918449997,0.167179873453407,0.186386476498967,62.7391003333454,0.0486719455571281,"100132057","PDE4DIPP6",0.389295548892866
-0.233751145951701,0.375750298908597,0.4969016575059,52.7728745410164,0.205695060186896,"100132101","HERC2P7",0.683608815847596
-0.0852544034183073,0.575387891271751,0.514144446570455,97.1734554759226,0.94818987548274,"100132285","KIR2DS2",0.696673160433297
0.0974284831937528,0.261270030196043,0.200058715028079,77.1258358136903,0.244663792532242,"100132341","CLUHP3",0.40540172898138
0.0651292833195578,0.0828531395528836,0.387322557693661,0.00355653003314718,1.34612315211015e-06,"100132354","LINC01512",0.595874039412769
-0.111444337418117,0.285702419086287,0.373508496886465,96.5967432898757,0.305153505284237,"100132476","KRTAP4-7",0.584261358789407
0.0338482454234913,0.0595243748518731,0.316589252680047,0,0,"100132596","XGY2",0.531120127851394
-0.580191644108001,0.366953293810979,0.0961527519128873,69.0304266817338,0.282471233222958,"100132707","PAXIP1-AS2",0.265342080450016
0.00916923842355252,0.13358801511873,0.818157798710043,54.1314382740328,0.0319107231060356,"100132708","CYP4F30P",0.899326801157957
