"","Gene_Symbol","Entrez","meta_effect_n","val_effect_n","meta_fdr_n","val_fdr_n","auc_n","significance_n","ppi_n","robustness_n","direction_bonus","biomarker_score"
"178","TCEAL3","85012",0,0,0.29043537429873,0.388695314523811,0.762729248152977,0.304347826086956,0,0.450775510565696,1,34.5640822476305
"179","MATN2","4147",0,0,0.12553136396211,0.37213682292352,0.839913081269014,0.695652173913043,0,0.0441955397922023,1,34.5600613528864
"180","GPRASP2","114928",0,0,0.365195672755319,0.35276617929285,0.774202520643198,0.565217391304348,0.022002200220022,0.000881392396135161,1,33.9570218577156
"181","EPDR1","54749",0,0,0.443588800424606,0.107437625068977,0.369508909169926,0.565217391304348,0.022002200220022,1,1,33.8511105856337
"182","ADH1A","124",0,0,0.19676388190951,0.410512546220593,0.853124728378966,0.391304347826087,0.088008800880088,0.136198557440899,1,33.6714758561029
"183","DOCK11","139818",0,0,0.158746321647348,0.393709412344946,0.755775749674055,0.304347826086956,0.022002200220022,0.487033051314379,1,33.333494828236
"184","SFRP1","6422",0,0,0.114218601237912,0.464532812941487,0.654950021729683,0.695652173913043,0.11001100110011,0.146405352238898,1,33.1859300173923
"185","PRAC1","84366",0,0,0.510601099660325,0.211000164955791,0.530830073880921,0.434782608695652,0,0.51209607025733,1,32.614168659933
"186","SLC45A3","85414",0.638293202377825,0.213195712844327,0.214397690741253,0.0111739629324369,0.0931073446327682,0.217391304347826,0.044004400440044,1,1,32.2305604033438
"187","EPHX2","2053",0,0,0.170925922711752,0.284246622634571,0.706753585397653,0.695652173913043,0.11001100110011,0.0667513278108286,1,31.9425146204741
"188","SCARA3","51435",0,0,0.462390479469734,0.109767147280732,0.470334637114298,0.695652173913043,0,0.415642812950416,1,31.7768384797522
"189","PPARG","5468",0.529908863954583,0.208154757993551,0.0756062429040805,0.00981827416685995,0.246084311169057,0.695652173913043,0.22002200220022,0.334604876175398,1,31.6336119908175
"190","PI3","5266",0.284043973831159,0.290960065110732,0,0.0354499002073523,0.474159061277705,0,0.066006600660066,0.999987963480637,1,31.1565360100154
"191","SPRR1A","6698",0.362138584016232,0.303221839952005,0.0276190562516236,0.0398751485214554,0.375071707953064,0,0.11001100110011,1,1,30.9564435551939
"192","CPNE8","144402",0,0,0.435869054448601,0.139336616473548,0.378200782268579,0.304347826086956,0.088008800880088,0.948533837829394,1,30.868022390415
"193","ARLN","401152",0,0,0.646055418401888,0,0,0.826086956521739,0,0.999985572067994,1,30.6655642197635
"194","CIPC","85457",0,0,0.311301529263734,0.290395044221546,0.638609300304215,0.565217391304348,0,0.0659310587502187,1,30.434464171062
"195","KRT15","3866",0.377234160297468,0.229635013609263,0.0460287043968869,0.0157659283742486,0.275636679704476,0.0869565217391304,0.176017601760176,1,1,29.3219686881875
"196","NCCRP1","342897",0.540187287773823,0.305419856349792,0,0.0406787479347155,0.509274228596263,0,0,0.36648185217347,1,29.1769480866071
"197","SLC6A8","6535",0.523093817525344,0.0136968078416917,0.176612849736494,0,0,0.695652173913043,0.022002200220022,0.812320078501534,1,29.1714564246084
"198","CPA3","1359",0,0,0.151566584405404,0.355025508215633,0.677201216862234,0.0869565217391304,0.044004400440044,0.534175106753191,1,29.1403719784187
"199","PRICKLE1","144165",0,0,0.19803613969537,0.228639121381238,0.57116036505867,0.565217391304348,0.044004400440044,0.243406157295433,1,28.8919939040193
"200","PCDH7","5099",0,0,0.238424493889049,0.17389448369045,0.480764884832681,0.0869565217391304,0.088008800880088,0.999986690265874,1,28.8704969937762
"201","CA9","768",0.546034008347492,0.246661485566922,0.0770468560961047,0.0208373536517174,0.277027379400261,0.391304347826087,0.176017601760176,0.242950978814754,1,28.466109787122
"202","S100A8","6279",0.466008818946778,0.155648456306189,0.145176543834685,0,0,0.391304347826087,0.088008800880088,1,1,28.4049989561111
"203","KRT6A","3853",0.347770061469829,0.189594435675336,0,0.00504728321602705,0.343780964797914,0,0.176017601760176,1,1,27.9873424598634
"204","S100A9","6280",0.624344353557708,0.330874997963452,0.10075252192054,0.0504278333591451,0.339608865710561,0.0869565217391304,0.176017601760176,0.129378136489778,1,27.8447249299116
"205","TENT5B","115572",0,0,0,0.571201287470227,0.702929161234246,0.304347826086956,0,0.0072199164238862,1,27.63737175161
"206","RGS5","8490",0,0,0,0.217230507158164,0.729004780530204,0.391304347826087,0.066006600660066,0.241825564213993,1,27.4987893145352
"207","DYNC1I1","1780",0,0,0.112874441499615,0.278408362886513,0.384806605823555,0.0869565217391304,0.11001100110011,0.999991214412462,1,26.7649491773991
"208","RPL29","6159",0.556827692448291,0.316967118568614,0.0486915038578295,0.0450268466092604,0.33787049109083,0.0869565217391304,0.044004400440044,0.146915315113372,1,25.7598019949818
"209","SH3D19","152503",0,0,0.0758398163642711,0.233423486710156,0.762381573229031,0.304347826086956,0.044004400440044,0,1,25.7429782158374
"210","GAS1","2619",0,0,0.0864747367418579,0.328135298978496,0.617748804867449,0.391304347826087,0,0,1,25.0259486999063
"211","KRT20","54474",0.597370825467622,0.168323598619038,0.0632701838934658,3.62824490975971e-06,0.0604259017818337,0.695652173913043,0.154015401540154,0.0404735888681829,1,24.9021338987692
"212","COXFA4L2","56901",0.467114796649351,0.150808991290416,0.145690753504942,0,0,0.0869565217391304,0.022002200220022,0.999999556135264,1,24.5087024960983
"213","COL4A5","1287",0,0,0,0.130998574322904,0.592020860495437,0.391304347826087,0.066006600660066,0.282916149355737,1,24.1352335712342
"214","ALDH1A2","8854",0,0,0.474273220696929,0,0,0.391304347826087,0.11001100110011,0.999955791707326,1,23.7165217426498
"215","TMPRSS2","7113",0.372995246907765,0.151002901317094,0.0348208021928381,0,0.0722468491960017,0.0869565217391304,0.066006600660066,0.999991239250297,1,23.4401711407348
"216","IGF2","3481",0.443060640675561,0.119973246336442,0.10650578042091,0,0,0.0434782608695652,0.242024202420242,1,1,23.4083555209145
"217","FABP4","2167",0,0,0.000987436735480986,0.195517405054953,0.357340286831812,0,0.132013201320132,0.999999986451902,1,22.9009033066009
"218","SCNN1B","6338",0.453101605195002,0.116980993999051,0.131791929678673,0,0.0100130378096478,0,0.022002200220022,1,1,22.8289269017138
"219","GEM","2669",0,0,0,0.414469938264797,0.666075619295958,0.0869565217391304,0,0,1,22.3386299059663
"220","CYP4F8","11283",0.457294003218149,0.00398442128677066,0.137384333205855,0,0,0.0869565217391304,0,1,1,22.1499882024087
"221","CFH","3075",0,0,0.00696107198668479,0.121436271302424,0.549604519774011,0.391304347826087,0.044004400440044,0.0790457230230432,1,21.1509811204131
"222","CTSG","1511",0,0,0.0479254658269655,0.170612279168152,0.482503259452412,0.391304347826087,0.242024202420242,0.0136654141410264,1,20.8308970515737
"223","HSPB8","26353",0,0,0.041422506730226,0.237594064822715,0.632351151673186,0.0869565217391304,0.066006600660066,0.0295637472835393,1,20.5323574277842
"224","CTSE","1510",0.34086066918388,0.124402552422176,0.00828920617351982,0,0,0,0.022002200220022,1,1,19.6791621772271
"225","EEF1A2","1917",0.457303438510994,0.142742583293717,0.00308944283106577,0,0,0.391304347826087,0.088008800880088,0.242409673278711,1,18.8214929285792
"226","FGFR3","2261",0.485742672050957,0.195342562354964,0,0.00648595306785672,0.0360886571056062,0.391304347826087,0.154015401540154,0,1,18.4924962391428
"227","P3H2","55214",0,0,0.330450445469985,0.0146761505664415,0,0.391304347826087,0.044004400440044,0.587935823878098,1,17.8485427664513
"228","UCHL1","7345",0,0,0.0162755270675896,0.126852395899121,0.380634506736202,0.391304347826087,0.088008800880088,0.0144886264805545,1,17.4347900516834
"229","OLFML2A","169611",0,0,0.0303554414521635,0.0753948534910342,0.3270925684485,0.391304347826087,0,0,1,15.5065070822014
"230","CLIC6","54102",0,0,0,0.0136404129052603,0,0,0,1,1,13.1636849548631
"231","ZNF462","58499",0,0,0.0741657993085875,0.0265674090957911,0.140391134289439,0.0434782608695652,0,0.0483437880213952,1,8.02179819729006
"232","NXN","64359",0,0,0,0.0462900737358752,0.209230769230769,0,0,0.0111455353498531,1,7.85155162294442
