"","Gene_Symbol","Entrez","meta_effect_n","val_effect_n","meta_fdr_n","val_fdr_n","auc_n","significance_n","ppi_n","robustness_n","direction_bonus","biomarker_score"
"107","LIFR","3977",0,0,0.829518027947016,0.663656629257935,0.921616688396349,0.565217391304348,0.044004400440044,0.400612797478603,1,50.2711795261447
"108","PDE5A","8654",0,0,0.799379983880482,0.582932508813827,0.843042155584529,0.391304347826087,0,0.910813306220643,1,50.2523782601418
"109","ANTXR2","118429",0,0,0.63473467318912,0.404851838012215,0.894150369404607,0.565217391304348,0,0.999999764895329,1,50.1406518671136
"110","ARHGEF10","9639",0,0,0.555055615601446,0.54165744741917,0.954993481095176,0.391304347826087,0,0.999986979829729,1,49.9559483503612
"111","PPM1K","152926",0,0,0.492072026678014,0.57550311025033,0.866336375488918,0.565217391304348,0,0.9999891660416,1,49.9201295089867
"112","ACKR1","2532",0,0,0.398017800585816,0.626150059659959,0.846866579747936,0.695652173913043,0.044004400440044,0.915158204157255,1,49.8587672477572
"113","LMO3","55885",0,0,0.457204569910037,1,0.895193394176445,0.0869565217391304,0.022002200220022,1,1,49.499807583979
"114","SYNE4","163183",0.818124790439586,0.278746543817618,0.452277750580908,0.0312143846374935,0.419574098218166,0.565217391304348,0.022002200220022,0.999978821725646,1,49.3979897801537
"115","IL1RN","3557",0.619462987897962,0.383936783195226,0.359612407802064,0.0729930045248903,0.582285962624946,0.391304347826087,0.154015401540154,0.999960355531303,1,49.0418829295735
"116","GNA15","2769",0.702335713695371,0.564161874310423,0.197595135183642,0.170499182884584,0.826006084311169,0.391304347826087,0.022002200220022,0.252923025453755,1,48.9591087642339
"117","H2BC12L","54145",0.784674090382306,0.663096280383227,0.0387379443389928,0.236949894653748,0.876071273359409,0,0.33003300330033,0.381656779865955,1,48.9051315343791
"118","TSPAN7","7102",0,0,0.756153744114738,0.40997439549031,0.734567579313342,0.695652173913043,0,0.879215888455118,1,48.8248742330351
"119","CDH3","1001",0.524490619172882,0.421015582699349,0.111511523825577,0.090462714937011,0.793672316384181,0.695652173913043,0.11001100110011,0.52716223575162,1,48.483705466819
"120","CLDN11","5010",0,0,1,0.405318568513565,0.669900043459366,0.391304347826087,0,0.999998074864967,1,47.9574566139128
"121","GGH","8836",0.581117075840008,0.631758324257846,0.0521292191660495,0.214912868572307,0.969595827900913,0.391304347826087,0.088008800880088,0.0401247230760677,1,47.9376030195625
"122","MMP1","4312",0.495111526683204,0.4080844370158,0.187420006479156,0.0842474014393192,0.85451542807475,0.0869565217391304,0.176017601760176,1,1,47.5665920144528
"123","CHRDL1","91851",0,0,0.312550591334286,1,0.908752716210344,0.0434782608695652,0.022002200220022,0.999986992465125,1,47.5132770759644
"124","PRSS8","5652",0.568853921408617,0.451054621825375,0.090969476570597,0.105629139441501,0.827396784006953,0.695652173913043,0.066006600660066,0.253972252170992,1,47.2714070882068
"125","FAM162B","221303",0,0,0.460613533778338,0.498926691996671,0.869117774880487,0.434782608695652,0.022002200220022,1,1,47.1802361119177
"126","TNFRSF21","27242",0.696995192928128,0.687498275005043,0.1145711205872,0.254649658719502,0.589239461103868,0.695652173913043,0.022002200220022,0,1,47.0121798124388
"127","CLIC3","9022",0.533191002473667,0.322836629102931,0.238192218418252,0.0472820914758327,0.684502390265102,0.391304347826087,0,1,1,46.7957785400165
"128","FUT3","2525",0.70806964176864,0.383436772040977,0.12509711434882,0.0727653283623719,0.68380704041721,1,0.022002200220022,0,1,46.3975865148732
