"","GSE76211_logFC","GSE76211_SE","GSE76211_logFC_scaled","GSE76211_SE_scaled"
"100126270",-0.0217228347828575,0.0582100320399182,-0.00261390310345161,0.133943015720625
"100126296",-0.0644302570312192,0.137466816720467,-0.100884952424931,0.316315235498016
"100126297",0.254278405316827,0.341092231489312,0.632473162580217,0.784863373605869
"100126299",-1.27440178759967,0.625036434620241,-2.88506544607763,1.43822743356147
"100126302",0.00800611238690818,0.10041858467788,0.0657932888971792,0.231066151225076
"100126303",0.122136303203284,0.0827523458128927,0.328410253825708,0.19041560995077
"100126304",-0.0621029895411236,0.112629692773738,-0.0955298406840848,0.2591642742862
"100126306",-0.1965092278128,0.1231472196061,-0.404802594106167,0.283365416468758
"100126307",0.0752372798025807,0.100601334492379,0.220494205534676,0.231486663985823
"100126308",0.174399055852192,0.177054089668138,0.448668402710687,0.407406728440853
"100126309",-0.00932345125547673,0.027560854884731,0.0259174473276064,0.0634183471427715
"100126310",-0.159423982070766,0.0936369165422457,-0.319468340209485,0.215461331061423
"100126313",-0.0638473539705995,0.109039809566482,-0.0995436751385919,0.250903846211966
"100126314",-0.0803913448692528,0.108201705473071,-0.137611890450698,0.248975343755856
"100126315",0.0293073050962551,0.11928227514554,0.114807967122739,0.274472064266422
"100126316",0.313830982599081,0.174549164776181,0.769505414849904,0.401642821732259
"100126317",-0.0292773700192801,0.182517079965905,-0.0199971134621104,0.419977231663281
"100126318",-0.0100530151027058,0.213892368623137,0.0242386992074955,0.492172704412254
"100126319",0.0267589610511507,0.112166505973716,0.108944151650847,0.258098467677568
"100126320",-0.262788479636876,0.210305661404413,-0.557313124643851,0.48391958438213
"100126324",0.0768889474626326,0.30125253546176,0.224294741964614,0.693191047645561
"100126327",-0.981622580492938,0.700870874575432,-2.21137177909465,1.61272473629645
"100126328",0.0431895100445088,0.173740026398031,0.146751333763488,0.399780970248817
"100126331",0.146827780737922,0.359476520597918,0.3852260783097,0.827166169855799
"100126333",0.00581843234261825,0.0689953990890335,0.0607593720224542,0.158760466211319
"100126334",-0.111544453839914,0.16042969929535,-0.209296121130079,0.369153511546536
"100126335",0.433453612703645,0.26740706149181,1.04476064600405,0.615311604993475
"100126336",-0.019043624976979,0.130302834827921,0.00355103837779597,0.299830700004244
"100126337",0.0226628586611266,0.219420216553541,0.0995188981748821,0.504892446977172
"100126340",0.812698276276672,0.414821065341245,1.91741390103216,0.954515614046496
"100126341",0.244653158980329,0.0293895851955386,0.610325184367797,0.0676263100004677
"100126342",0.0704655099211915,0.0938791984470108,0.209514221057089,0.216018828933208
"100126343",0.0375803801290644,0.113186061877768,0.133844558932508,0.260444496148929
"100126345",0.188309505293623,0.162158359127761,0.48067676077063,0.373131209255917
"100126346",-0.0724331682479034,0.114861368622509,-0.119299889255269,0.2642994268161
"100126348",0.109090988669369,0.146613050856951,0.298392596929411,0.337360992385549
"100126349",-0.02811857202538,0.114833595687798,-0.0173306847989627,0.264235520466968
"100126350",0.112394072559168,0.249905199667803,0.305993091240675,0.575039300181382
"100126355",0.109298727158639,0.183149027026811,0.298870609374328,0.421431360653548
"100126356",-0.00795776813959481,0.0824613874352311,0.0290599248121493,0.189746106066517
"100126780",0.0918518973585947,0.240124722694246,0.258724934886813,0.552534131654314
"100126781",0.0533917983111323,0.237983005143063,0.170227102626587,0.547605975843809
"100126784",-0.20719968529785,0.240004381180111,-0.429401654865983,0.552257222249617
"100126791",-0.367897146247845,0.127062600455773,-0.799171293946908,0.292374824303136
"100126793",0.181344783876343,0.188320928007939,0.464650729559295,0.433332058697239
"100126798",0.230168023015554,0.250661052966089,0.576994455518261,0.576778541110599
"100126799",0.230168023015554,0.250661052966089,0.576994455518261,0.576778541110599
"100126800",0.176515060785209,0.168565503742543,0.453537393021732,0.387874239654417
"100127888",0.0473167594094477,0.0925344439658324,0.156248257355488,0.212924508859834
"100127955",-0.0675189687502034,0.196995099983114,-0.107992169992663,0.453291586505736
"100127983",-2.74970295203303,0.919411288613598,-6.27977732194195,2.11559273150787
"100128006",-0.118982660818199,0.0970270002949417,-0.2264116567055,0.22326201464583
"100128023",0.000668792960507592,0.126454372147368,0.048909898580478,0.29097527286811
"100128025",-0.0801305861425554,0.169210066457638,-0.137011876861883,0.389357397640341
"100128054",0.0324874884363089,0.0604491320532611,0.122125663612223,0.139095251474104
"100128055",0.315389085947645,0.339715793540623,0.773090657015172,0.781696148931035
"100128071",0.0126445280378125,0.134069185732589,0.0764664213225627,0.308497185500893
"100128076",-0.0768708492562258,0.150384613043853,-0.12951112529536,0.346039469197673
"100128079",-0.110363737747665,0.122554008682609,-0.206579258270473,0.282000420483247
"100128081",-0.0854898873403327,0.122007874908366,-0.149343788380041,0.280743750418906
"100128098",0.000660847364249761,0.0695506105828742,0.0488916155270733,0.160038024378556
"100128124",0.0232215051284763,0.184141371260349,0.100804360318369,0.423714774261391
"100128126",-0.0696511780423066,0.127730822823634,-0.112898447016115,0.293912423854051
"100128164",-0.159593996437866,0.0936103157712511,-0.319859548326833,0.215400121895878
"100128176",-0.0648751488912938,0.0669854966129888,-0.101908661832393,0.154135620810767
"100128191",0.126668381331871,0.0941269083076332,0.338838700448246,0.216588816692925
"100128233",0.128890445832678,0.129457007959818,0.3439517369805,0.297884427213783
"100128239",-0.190076950055127,0.181298790484871,-0.390001731598061,0.417173911318114
"100128252",-0.5506643975562,0.360071662537949,-1.21972417731283,0.828535609167821
"100128253",0.134446513018678,0.121993911884084,0.356736412892186,0.280711621084574
"100128262",0.0908530350142538,0.11826576534957,0.256426522912069,0.272133044980394
"100128264",0.130271223475075,0.0920046753318348,0.347128947419681,0.211705495470128
"100128285",0.0263229730868302,0.118937649376526,0.107940930372444,0.273679070117834
"100128288",-0.508136182208417,0.193815246795129,-1.12186548840175,0.445974649705987
"100128292",0.0744472316908134,0.210257138115454,0.218676281322197,0.483807930850461
"100128310",0.134405784247463,0.0414957264593041,0.356642694777765,0.0954829012577388
"100128317",-0.0645910963837326,0.121334417061111,-0.101255048560721,0.279194103874128
"100128327",0.0156593886476526,0.075066595414016,0.0834037052907692,0.172730469599093
