"gene","significance_GSE13507","significance_GSE3167","significance_GSE37817","significance_GSE52519","significance_GSE65635","significance_GSE7476","significance_GSE76211","score"
"9415","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"94150",NA,NA,"not significant",NA,NA,NA,"not significant",0
"94158",NA,NA,"not significant",NA,"not significant",NA,"not significant",0
"9416","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"94160","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"94161","not significant",NA,"not significant","not significant","not significant",NA,"not significant",0
"94162","not significant",NA,"not significant","not significant","not significant",NA,NA,0
"94163","not significant",NA,"not significant",NA,"not significant",NA,NA,0
"9419","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"942","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9420","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9421","not significant","significant","not significant","not significant","significant","not significant","not significant",0.285714285714286
"9422","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9423","not significant","not significant","not significant",NA,"not significant","significant","not significant",0.122448979591837
"94233","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"94234","not significant",NA,"not significant","not significant","significant","not significant","not significant",0.122448979591837
"94235","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"94236",NA,NA,NA,NA,NA,NA,"not significant",0
"94239","not significant","not significant","not significant","not significant","not significant","significant","not significant",0.142857142857143
"9424","not significant",NA,"not significant","not significant","significant","not significant","not significant",0.122448979591837
"94240","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"94241","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9425","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9426","not significant",NA,"not significant",NA,"not significant",NA,NA,0
"9427","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"94274","significant",NA,"not significant","not significant","significant","significant","not significant",0.36734693877551
"9429","not significant","not significant","not significant",NA,"not significant","significant","not significant",0.122448979591837
"943","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9435","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9436","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9437","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9439","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"944","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9440","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9441","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9442","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9443","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"94431","not significant",NA,NA,NA,NA,NA,NA,0
"9444","not significant","not significant",NA,"not significant","not significant","significant","not significant",0.122448979591837
"9445","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9446","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"9447","not significant","not significant","not significant","not significant","not significant","significant","not significant",0.142857142857143
"9448","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"945","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9450","significant","not significant","significant","not significant","not significant","not significant","not significant",0.285714285714286
"9451","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9452","significant","not significant","significant","not significant","significant","significant","not significant",0.571428571428571
"9453","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9454","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9455","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9456","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9457","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9459","significant","not significant","not significant","not significant","significant","not significant","not significant",0.285714285714286
"946","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"9462","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9463","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9464","not significant","not significant",NA,NA,"significant","not significant","not significant",0.102040816326531
"9465","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9466","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9467","not significant","not significant",NA,NA,"not significant","not significant","not significant",0
"9468","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9469","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"947","not significant","not significant","not significant","not significant","significant","significant","not significant",0.285714285714286
